time,close_time,open,high,low,close,volume
1783702800000,1783703699999,64140.0,64158.58,63942.45,63960.0,114.82822
1783703700000,1783704599999,63960.01,64017.03,63864.95,63978.0,125.70132
1783704600000,1783705499999,63978.0,63978.01,63852.38,63881.99,124.23365
1783705500000,1783706399999,63882.0,63936.76,63821.88,63823.99,126.8159
1783706400000,1783707299999,63824.0,64003.99,63823.99,63890.18,180.34933
1783707300000,1783708199999,63890.18,63982.41,63848.24,63924.57,102.98836
1783708200000,1783709099999,63924.57,63940.0,63858.7,63883.99,108.6959
1783709100000,1783709999999,63883.99,63884.0,63732.66,63810.0,174.14708
1783710000000,1783710899999,63809.99,63900.0,63784.0,63882.05,86.42292
1783710900000,1783711799999,63882.04,63922.38,63780.0,63861.09,100.9894
1783711800000,1783712699999,63861.1,64077.56,63851.01,63986.01,272.43783
1783712700000,1783713599999,63986.0,64020.0,63889.99,63917.88,767.68037
1783713600000,1783714499999,63917.88,63920.0,63819.72,63819.72,380.64523
1783714500000,1783715399999,63819.73,63946.36,63656.0,63732.25,605.96554
1783715400000,1783716299999,63732.26,63904.0,63719.3,63883.84,88.12008
1783716300000,1783717199999,63883.85,63883.85,63840.89,63841.25,52.08453
1783717200000,1783718099999,63841.25,63985.51,63835.05,63947.99,72.6421
1783718100000,1783718999999,63948.0,64018.0,63936.0,64010.15,61.83091
1783719000000,1783719899999,64010.14,64099.56,63989.36,64039.89,116.09533
1783719900000,1783720799999,64039.88,64040.0,63989.05,64011.99,56.73213
1783720800000,1783721699999,64012.0,64054.75,63981.37,64051.83,93.97334
1783721700000,1783722599999,64051.82,64138.99,64018.0,64132.07,128.35781
1783722600000,1783723499999,64132.08,64160.0,64119.23,64123.97,94.68751
1783723500000,1783724399999,64123.97,64169.39,64074.7,64112.29,191.12316
1783724400000,1783725299999,64112.3,64120.0,64024.0,64120.0,76.11842
1783725300000,1783726199999,64120.0,64203.09,64115.84,64190.0,51.1383
1783726200000,1783727099999,64190.0,64222.61,64165.0,64222.0,260.26594
1783727100000,1783727999999,64222.0,64222.01,64118.91,64161.72,302.73127
1783728000000,1783728899999,64161.72,64168.49,64059.27,64068.76,156.93118
1783728900000,1783729799999,64068.77,64130.76,64028.43,64109.54,28.26401
1783729800000,1783730699999,64109.55,64147.27,64050.0,64147.27,87.8634
1783730700000,1783731599999,64147.27,64147.27,64090.0,64124.0,42.72643
1783731600000,1783732499999,64123.99,64162.0,64100.0,64138.0,89.03494
1783732500000,1783733399999,64137.99,64310.0,64128.76,64228.82,162.93928
1783733400000,1783734299999,64228.82,64269.01,64006.0,64060.0,106.90057
1783734300000,1783735199999,64060.01,64109.08,64004.01,64012.95,46.54908
1783735200000,1783736099999,64012.95,64058.0,63984.07,64006.98,46.52451
1783736100000,1783736999999,64006.98,64070.2,64004.15,64032.55,28.82718
1783737000000,1783737899999,64032.55,64145.81,64027.53,64145.57,59.00048
1783737900000,1783738799999,64145.56,64166.0,64136.22,64158.04,71.13801
1783738800000,1783739699999,64158.04,64188.01,64115.66,64188.01,42.44373
1783739700000,1783740599999,64188.0,64195.04,64068.0,64116.44,73.81608
1783740600000,1783741499999,64116.44,64184.24,64116.43,64159.1,23.67911
1783741500000,1783742399999,64159.11,64190.0,64150.42,64150.42,34.85346
1783742400000,1783743299999,64150.42,64150.43,64087.45,64119.35,29.2789
1783743300000,1783744199999,64119.35,64169.99,64080.26,64140.45,98.76792
1783744200000,1783745099999,64140.44,64213.55,64136.2,64154.43,43.50225
1783745100000,1783745999999,64154.44,64170.0,64120.0,64152.0,51.97644
1783746000000,1783746899999,64152.0,64198.12,64121.07,64164.04,117.36765
1783746900000,1783747799999,64164.04,64200.01,64140.0,64200.0,94.34787
1783747800000,1783748699999,64200.0,64221.99,64158.0,64200.01,272.8466
1783748700000,1783749599999,64200.01,64200.01,64140.4,64176.01,51.41256
1783749600000,1783750499999,64176.0,64210.0,64124.0,64174.99,95.98496
1783750500000,1783751399999,64175.0,64278.0,64174.99,64228.71,60.12934
1783751400000,1783752299999,64228.72,64265.74,64218.25,64218.25,57.03753
1783752300000,1783753199999,64218.26,64237.59,64200.27,64219.1,89.69324
1783753200000,1783754099999,64219.09,64227.58,64176.0,64218.0,147.92084
1783754100000,1783754999999,64218.01,64256.55,64194.0,64204.99,190.35209
1783755000000,1783755899999,64205.0,64232.0,64174.6,64174.61,42.96927
1783755900000,1783756799999,64174.61,64177.91,64152.0,64162.18,41.42852
1783756800000,1783757699999,64162.18,64250.0,64153.87,64230.77,51.26858
1783757700000,1783758599999,64230.77,64274.81,64229.2,64250.56,41.10952
1783758600000,1783759499999,64250.57,64300.0,64242.8,64286.86,44.80388
1783759500000,1783760399999,64286.87,64286.87,64235.62,64265.98,31.93245
1783760400000,1783761299999,64265.98,64275.81,64217.78,64217.79,46.71145
1783761300000,1783762199999,64217.79,64270.21,64217.78,64270.19,27.09318
1783762200000,1783763099999,64270.19,64300.0,64189.18,64189.18,144.41996
1783763100000,1783763999999,64189.19,64189.19,64159.7,64167.34,129.31487
1783764000000,1783764899999,64167.35,64204.02,64157.96,64204.01,77.34694
1783764900000,1783765799999,64204.02,64204.02,64152.65,64184.01,107.11734
1783765800000,1783766699999,64184.0,64186.58,64129.99,64130.0,183.24604
1783766700000,1783767599999,64130.0,64196.0,64129.99,64196.0,53.54202
1783767600000,1783768499999,64196.0,64215.32,64178.0,64210.0,128.36473
1783768500000,1783769399999,64210.0,64212.01,64167.99,64175.85,97.74397
1783769400000,1783770299999,64175.84,64213.57,64169.99,64185.0,134.3857
1783770300000,1783771199999,64185.0,64198.0,64179.96,64198.0,56.94656
1783771200000,1783772099999,64197.99,64225.99,64158.11,64214.25,217.80908
1783772100000,1783772999999,64214.26,64228.0,64172.62,64181.72,90.35169
1783773000000,1783773899999,64181.72,64181.72,64130.65,64141.99,63.27429
1783773900000,1783774799999,64141.99,64198.0,64141.99,64195.49,36.87893
1783774800000,1783775699999,64195.48,64203.89,64169.78,64186.43,91.24072
1783775700000,1783776599999,64186.44,64213.78,64159.99,64190.7,110.83298
1783776600000,1783777499999,64190.71,64266.0,64190.7,64239.93,102.29724
1783777500000,1783778399999,64239.94,64265.66,64234.0,64235.66,47.81361
1783778400000,1783779299999,64235.67,64276.21,64235.66,64264.01,44.39749
1783779300000,1783780199999,64264.0,64450.0,64264.0,64380.9,193.46112
1783780200000,1783781099999,64380.91,64504.11,64380.9,64419.78,203.64434
1783781100000,1783781999999,64419.79,64431.86,64350.0,64350.07,109.92866
1783782000000,1783782899999,64350.07,64484.01,64347.91,64463.99,130.71702
1783782900000,1783783799999,64463.99,64474.59,64410.14,64429.83,109.88437
1783783800000,1783784699999,64429.83,64450.0,63896.18,64094.69,678.31889
1783784700000,1783785599999,64094.7,64191.04,64008.0,64175.75,266.70429
1783785600000,1783786499999,64175.75,64214.0,64084.0,64186.68,174.03571
1783786500000,1783787399999,64186.68,64230.96,64148.84,64220.0,114.80606
1783787400000,1783788299999,64220.01,64273.63,64114.74,64146.0,116.0185
1783788300000,1783789199999,64145.99,64180.01,64102.2,64180.01,63.66604
1783789200000,1783790099999,64180.0,64224.0,64164.08,64206.67,47.77097
1783790100000,1783790999999,64206.67,64300.0,64192.0,64300.0,58.51364
1783791000000,1783791899999,64299.99,64402.0,64299.99,64359.51,101.39949
1783791900000,1783792799999,64359.52,64388.82,64312.82,64315.53,65.26835
1783792800000,1783793699999,64315.53,64342.3,64288.91,64304.99,101.88492
1783793700000,1783794599999,64305.0,64395.17,64304.99,64341.3,77.4067
1783794600000,1783795499999,64341.31,64360.01,64330.0,64353.29,55.11732
1783795500000,1783796399999,64353.29,64353.3,64294.0,64327.99,39.83597
1783796400000,1783797299999,64327.99,64328.0,64298.97,64323.19,57.84002
1783797300000,1783798199999,64323.19,64338.0,64233.69,64233.69,61.23016
1783798200000,1783799099999,64233.69,64285.9,64233.23,64270.63,52.15961
1783799100000,1783799999999,64270.63,64290.0,64260.95,64286.0,31.09328
1783800000000,1783800899999,64286.0,64350.0,64285.99,64324.61,81.5978
1783800900000,1783801799999,64324.62,64360.0,64324.62,64350.0,25.98985
1783801800000,1783802699999,64350.0,64463.83,64346.0,64415.05,63.86359
1783802700000,1783803599999,64415.05,64425.87,64382.04,64382.45,25.77959
1783803600000,1783804499999,64382.44,64427.56,64354.45,64354.45,29.91619
1783804500000,1783805399999,64354.45,64396.0,64353.13,64367.22,30.2385
1783805400000,1783806299999,64367.21,64372.95,64342.0,64350.0,32.55963
1783806300000,1783807199999,64350.0,64380.0,64338.09,64355.99,23.80451
1783807200000,1783808099999,64355.99,64424.03,64330.0,64357.17,71.48242
1783808100000,1783808999999,64357.17,64364.65,64203.08,64251.3,91.42731
1783809000000,1783809899999,64251.29,64302.0,64167.33,64211.57,106.80037
1783809900000,1783810799999,64211.57,64222.0,64144.47,64203.08,33.60885
1783810800000,1783811699999,64203.09,64246.0,64083.82,64139.1,74.06303
1783811700000,1783812599999,64139.09,64181.3,63821.42,63932.8,458.51282
1783812600000,1783813499999,63932.8,63959.87,63820.0,63955.36,278.4237
1783813500000,1783814399999,63955.36,64018.85,63819.0,63819.0,66.45008
1783814400000,1783815299999,63819.01,63909.92,63781.81,63782.0,217.12438
1783815300000,1783816199999,63781.99,63906.0,63766.0,63829.87,417.2268
1783816200000,1783817099999,63829.87,63864.03,63702.16,63796.01,671.93807
1783817100000,1783817999999,63796.0,63874.27,63762.0,63828.47,996.21427
1783818000000,1783818899999,63828.48,64045.18,63812.0,63918.75,165.36429
1783818900000,1783819799999,63918.75,64002.0,63896.0,63947.96,83.28978
1783819800000,1783820699999,63947.95,64172.66,63929.69,64156.01,89.43142
1783820700000,1783821599999,64156.0,64165.03,64096.0,64133.61,56.16519
1783821600000,1783822499999,64133.61,64133.62,64029.51,64053.2,256.83231
1783822500000,1783823399999,64053.2,64131.97,64042.56,64110.77,262.06013
1783823400000,1783824299999,64110.77,64120.0,64071.4,64080.26,54.50117
1783824300000,1783825199999,64080.27,64121.87,64060.0,64070.39,335.176
